country,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,date
RU,63.05,147.18,-11.75,67.0,56.0,3.6,2019-03-06 00:00:42
US,42.65,-73.75,26.01,48.0,90.0,5.82,2019-03-05 23:57:38
AR,-54.81,-68.31,42.8,75.0,40.0,29.97,2019-03-05 23:00:00
SB,-8.15,159.59,85.91,80.0,80.0,8.41,2019-03-06 00:00:43
ZA,-34.42,19.24,69.01,80.0,0.0,10.0,2019-03-05 23:46:45
RU,65.8,87.96,13.46,91.0,80.0,14.0,2019-03-06 00:00:43
US,39.31,-74.98,34.0,58.0,1.0,4.7,2019-03-06 00:00:43
NZ,-35.1,173.78,73.99,61.0,0.0,1.99,2019-03-05 23:38:04
PT,40.06,-8.63,57.99,93.0,75.0,19.46,2019-03-06 00:00:33
RU,54.21,49.93,35.15,93.0,92.0,21.05,2019-03-06 00:00:44
ZA,-33.93,18.42,70.0,88.0,0.0,6.93,2019-03-05 23:56:03
PG,-3.66,152.44,84.87,94.0,8.0,7.52,2019-03-06 00:00:45
ET,8.96,38.73,45.63,89.0,0.0,1.81,2019-03-06 00:00:45
CN,27.88,102.25,37.71,95.0,100.0,1.7,2019-03-06 00:00:45
ZA,-34.53,20.04,69.01,88.0,0.0,1.12,2019-03-05 23:46:45
CA,50.1,-91.92,5.0,50.0,40.0,8.05,2019-03-05 23:00:00
BS,26.54,-77.06,77.76,96.0,44.0,14.45,2019-03-05 23:58:31
SO,11.28,49.18,77.58,100.0,92.0,4.94,2019-03-06 00:00:46
US,22.08,-159.32,77.0,53.0,75.0,18.34,2019-03-05 23:58:15
CM,2.97,11.5,69.26,97.0,80.0,2.15,2019-03-06 00:00:47
AR,-46.43,-67.52,61.83,54.0,76.0,24.63,2019-03-06 00:00:47
PF,-23.12,-134.97,80.82,97.0,76.0,15.12,2019-03-05 23:59:09
CL,-53.16,-70.91,48.2,52.0,75.0,6.93,2019-03-05 23:53:11
